Instance,number of images,number of interruptions, computation time
0,4,3,0.004933834075927734
1,4,2,0.0039501190185546875
2,6,3,0.005470752716064453
3,6,4,0.003973245620727539
4,5,2,0.002983570098876953
5,4,2,0.00396728515625
6,25,10,0.0064465999603271484
7,4,2,0.0034990310668945312
8,25,10,0.08088254928588867
9,3,5,0.002981901168823242
10,25,10,69.02306652069092
11,25,25,0.06596636772155762
12,5,4,0.0074672698974609375
13,5,3,0.005486488342285156
14,5,3,0.0040018558502197266
15,1,35,0.0035092830657958984
16,20,20,0.011903524398803711
17,6,7,0.010911941528320312
18,6,4,0.006943464279174805
19,20,5,2.5519213676452637
20,20,5,12.490751504898071
21,20,5,40.68939161300659
22,20,5,3.062304973602295
23,20,5,9.086725950241089
24,20,5,23.059568881988525
25,20,5,3.429374933242798
26,20,5,14.111246824264526
27,20,5,9.384894132614136
28,20,5,3.54097843170166
29,20,5,2.8172717094421387
30,20,5,13.50360918045044
31,20,5,3.6535346508026123
32,20,5,2.013780355453491
33,20,5,40.81537079811096
34,20,5,8.601139783859253
35,20,5,15.636415719985962
36,20,5,4.013138771057129
37,20,5,56.92549252510071
38,20,5,0.7965967655181885
39,20,5,55.36651825904846
40,20,5,28.490247011184692
41,20,5,0.9694771766662598
42,20,5,1.1760170459747314
43,20,5,29.191601991653442
44,20,5,8.043641805648804
45,20,5,21.35720443725586
46,5,3,0.003967761993408203
47,4,3,0.003466367721557617
48,3,4,0.0034630298614501953
49,20,10,0.33681678771972656
50,5,5,0.003954887390136719
51,5,5,0.005949974060058594
52,4,5,0.003472566604614258
53,7,5,0.01091146469116211
54,6,3,0.00942373275756836
55,8,3,0.008919954299926758
56,10,6,0.008434772491455078
57,5,4,0.005453348159790039
58,4,4,0.0034716129302978516
59,3,2,0.003012418746948242
60,5,5,0.003961801528930664
61,8,5,0.0034742355346679688
62,5,5,0.003972053527832031
63,4,2,0.0039670467376708984
64,5,3,0.0029757022857666016
65,10,6,0.003951311111450195
66,6,5,0.0049591064453125
